,href formula,href
1935,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.02.01-Hayes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.02.01-Hayes.pdf
1936,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.01.28.R-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.01.28.R-Reunion.pdf
1937,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.01.05-Kahl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.01.05-Kahl.pdf
1938,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.00.00-BocaGrandeBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2000.00.00-BocaGrandeBoat.pdf
1939,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.c-Wildl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.c-Wildl.pdf
1940,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.b-McDowell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.b-McDowell.pdf
1941,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.a-Hayward.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.31.a-Hayward.pdf
1942,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.26-Cicero.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.26-Cicero.pdf
1943,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.14-Hong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.14-Hong.pdf
1944,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.06-Brazilian-diver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.06-Brazilian-diver.pdf
1945,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.02-BoyntonBeach-surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.12.02-BoyntonBeach-surfer.pdf
1946,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.30-Wyche.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.30-Wyche.pdf
1947,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.23-Boyette.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.23-Boyette.pdf
1948,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.15-JackWolf_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.15-JackWolf_Collier.pdf
1949,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.13-Grenfell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.13-Grenfell.pdf
1950,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.06-Brazilian-diver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.06-Brazilian-diver.pdf
1951,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.00.b-Bayo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.00.b-Bayo.pdf
1952,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.00.a-Morson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.11.00.a-Morson.pdf
1953,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.30.b-Dolsky.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.30.b-Dolsky.pdf
1954,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.30.a-TroyJesse.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.30.a-TroyJesse.pdf
1955,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.20-Hunt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.20-Hunt.pdf
1956,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.01-Spencer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.10.01-Spencer.pdf
1957,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.29-Borges.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.29-Borges.pdf
1958,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.24-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.24-boat.pdf
1959,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.16-Ferguson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.16-Ferguson.pdf
1960,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.10-Warnock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.10-Warnock.pdf
1961,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.05-Sprague.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.05-Sprague.pdf
1962,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.04.b-Patterson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.04.b-Patterson.pdf
1963,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.04.a-Crabtree.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.09.04.a-Crabtree.pdf
1964,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.26-Ayers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.26-Ayers.pdf
1965,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.24-FortFisher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.24-FortFisher.pdf
1966,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.23-Joel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.23-Joel.pdf
1967,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.21-GC.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.21-GC.pdf
1968,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.16-Handley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.16-Handley.pdf
1969,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.05-Adkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.05-Adkins.pdf
1970,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.05-KevinKing.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.08.05-KevinKing.pdf
1971,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.29-Capri.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.29-Capri.pdf
1972,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.26-Knowles.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.26-Knowles.pdf
1973,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.21-Yamaguchi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.21-Yamaguchi.pdf
1974,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.15-Pretorius.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.15-Pretorius.pdf
1975,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.06-NV-Morsy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.06-NV-Morsy.pdf
1976,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.04-LisaAlexander.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.04-LisaAlexander.pdf
1977,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.03-Grey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.07.03-Grey.pdf
1978,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.19-Bass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.19-Bass.pdf
1979,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.17-Bryant.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.17-Bryant.pdf
1980,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.12-AtlanticBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.12-AtlanticBeach.pdf
1981,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.09-Wellborn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.06.09-Wellborn.pdf
1982,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.05.29-Donoghue.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.05.29-Donoghue.pdf
1983,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.05.01-Pires.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.05.01-Pires.pdf
1984,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.22-Lanner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.22-Lanner.pdf
1985,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.11-Oudin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.11-Oudin.pdf
1986,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.01-HobeSoundSurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.04.01-HobeSoundSurfer.pdf
1987,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.R-ZaneSmith-X.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.R-ZaneSmith-X.pdf
1988,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.b-Cartamil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.b-Cartamil.pdf
1989,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.a-Davoodabai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.18.a-Davoodabai.pdf
1990,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.14.b-Wouanena.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.14.b-Wouanena.pdf
1991,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.14.a-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.14.a-Spain.pdf
1992,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.08-NV-Allen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.08-NV-Allen.pdf
1993,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.05-Knutson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.03.05-Knutson.pdf
1994,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.26.R-BirdDog.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.26.R-BirdDog.pdf
1995,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.23-ScottsHead.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.23-ScottsHead.pdf
1996,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.03-KennyBurns.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.02.03-KennyBurns.pdf
1997,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.29-Mauritius.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.29-Mauritius.pdf
1998,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.13-Ridge.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.13-Ridge.pdf
1999,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.07-NZ-inflatable.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.07-NZ-inflatable.pdf
2000,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.03.R-Turcotte.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.03.R-Turcotte.pdf
2001,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.03-ReunionIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.01.03-ReunionIsland.pdf
